Average of Success Frame No,Suc_Average
0.1,91.180000
0.2,165.400000
0.3,228.660000
0.4,279.580000
0.5,319.160000
0.6,345.480000
0.7,374.260000
0.8,399.500000
0.9,411.200000
1.0,415.700000
1.1,417.000000
1.2,423.560000
1.3,421.580000
1.4,418.880000
1.5,420.580000
1.6,396.540000
1.7,401.600000
1.8,393.020000
1.9,394.060000
2.0,344.400000
2.1,346.660000
2.2,343.400000
2.3,343.540000
2.4,347.960000
2.5,341.440000
2.6,345.080000
2.7,249.120000
2.8,248.600000
2.9,248.520000
3.0,249.480000
3.1,249.040000
3.2,252.240000
3.3,247.920000
3.4,250.500000
3.5,251.880000
3.6,246.640000
3.7,250.940000
3.8,250.060000
3.9,250.500000
4.0,98.320000
4.1,100.340000
4.2,97.840000
4.3,99.700000
4.4,98.840000
4.5,99.300000
4.6,97.800000
4.7,100.460000
4.8,97.360000
4.9,100.820000
5.0,98.960000
